Timestamp	I am comfortable with performing statistical tests using software like Microsoft Excel	I am interested in improving my data analysis capabilities	My previous classes have provided adequate background in genetics	My previous classes have provided adequate background in evolutionary theory	I feel prepared to apply knowledge from my other classes in biology to address interesting research questions	I consider myself really good at computers or a computer geek	I am comfortable managing files and directories in an operating system like Windows	I regularly back up and/or archive computer files for my classes or personal use	I have experience storing or analyzing data in remote servers	Computer skills will be essential in my future profession	I am taking this class because I had to take something, and it didn't seem as bad as the other options
8/24/15 15:09	Neutral	Strongly agree	Moderately agree	Moderately agree	Strongly agree	Neutral	Strongly agree	Strongly agree	Moderately disagree	Strongly agree	Moderately disagree
8/24/15 15:54	Moderately agree	Strongly agree	Moderately agree	Moderately disagree	Moderately disagree	Moderately agree	Moderately agree	Moderately agree	Strongly disagree	Strongly agree	Strongly disagree
8/25/15 15:51	Neutral	Strongly agree	Moderately agree	Neutral	Strongly agree	Strongly disagree	Neutral	Moderately agree	Neutral	Moderately agree	Moderately disagree
8/25/15 17:57	Neutral	Strongly agree	Neutral	Neutral	Neutral	Neutral	Neutral	Moderately disagree	Moderately disagree	Moderately agree	Neutral
8/25/15 17:57	Neutral	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Neutral	Moderately agree	Neutral	Moderately disagree	Strongly agree	Moderately agree
8/25/15 17:58	Moderately agree	Strongly agree	Moderately agree	Moderately agree	Strongly agree	Strongly disagree	Moderately agree	Moderately disagree	Strongly disagree	Strongly agree	Moderately disagree
8/25/15 17:58	Strongly agree	Strongly agree	Moderately agree	Strongly agree	Strongly agree	Moderately agree	Moderately agree	Moderately disagree	Moderately agree	Strongly agree	Moderately agree
8/25/15 17:59	Moderately agree	Strongly agree	Moderately agree	Moderately agree	Strongly agree	Neutral	Strongly agree	Neutral	Strongly disagree	Strongly agree	Strongly disagree
8/25/15 18:00	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Moderately agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Moderately agree
8/25/15 18:00	Strongly agree	Strongly agree	Moderately agree	Moderately agree	Strongly agree	Neutral	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree
8/25/15 18:00	Moderately disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Moderately disagree	Moderately agree	Strongly agree	Moderately agree	Strongly agree	Moderately disagree
8/25/15 18:00	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Neutral	Neutral	Strongly disagree	Moderately agree	Moderately agree
8/25/15 18:00	Neutral	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Moderately agree	Moderately agree	Moderately agree	Strongly disagree	Strongly agree	Strongly disagree
8/25/15 18:00	Neutral	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Neutral	Moderately agree	Moderately agree	Moderately disagree	Strongly agree	Strongly disagree
8/25/15 18:01	Moderately agree	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Strongly disagree	Neutral	Strongly disagree	Strongly disagree	Moderately agree	Moderately disagree
8/25/15 18:02	Neutral	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Moderately disagree	Moderately agree	Moderately agree	Strongly disagree	Strongly agree	Moderately disagree
8/25/15 18:02	Strongly agree	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Moderately agree	Neutral	Moderately agree	Neutral	Moderately agree	Neutral
8/25/15 18:03	Moderately agree	Strongly agree	Moderately agree	Strongly agree	Strongly agree	Moderately agree	Moderately agree	Moderately agree	Moderately agree	Strongly agree	Strongly disagree
8/25/15 18:04	Neutral	Strongly agree	Neutral	Moderately agree	Moderately agree	Moderately disagree	Neutral	Moderately disagree	Strongly disagree	Strongly agree	Neutral
